title,src,url,description,tags
logitr,images/hex/logitr.png,https://jhelvy.github.io/logitr/,R package for fast estimation of multinomial and mixed logit models with preference space and willingness to pay space utility parameterizations.,R; Software
cbcTools,images/hex/cbcTools.png,https://jhelvy.github.io/cbcTools/,R package with tools for designing choice based conjoint (cbc) survey experiments and conducting power analyses.,R; Software
Wireless Corne,images/wireless_corne.jpeg,https://github.com/jhelvy/wireless-corne/,Build log and gallery of how I built my wireless Corne keyboard.,Keyboards
The Distillery,images/hex/distillery.png,https://distillery.rbind.io/,Distill website showcasing other distill websites and blogs.,R; Community
oica,images/hex/oica.png,https://jhelvy.github.io/oica/,R data package with tidy formatted data on vehicle production and sales from the International Organization of Motor Vehicle Manufacturers.,R; Software
renderthis,images/hex/renderthis.png,https://jhelvy.github.io/renderthis/,"R package for rendering slides and other media into different formats, including html, pdf, png, gif, pptx, and mp4.",R; Software
charts,images/nasa_global_preview.png,https://www.jhelvy.com/charts,Bunch of reproducible charts. All data and source code are available at https://github.com/jhelvy/charts,R
GW Coders,images/gwcoders.png,https://gwcoders.github.io/,Study group that brings together students and faculty to apply computational and data analytics skills in research.,Community
splitKbCompare,images/splitKbCompare.png,https://jhelvy.shinyapps.io/splitKbCompare/,Interactive R Shiny app for comparing layouts of different split mechanical keyboards. Built for the ergonomic keyboard community r/ErgoMechKeyboards.,R; Software; Keyboards
λέξις (lexis),images/lexis.png,https://jhelvy.github.io/lexis/,"Theme for xaringan slides with a light gray background, ""Fira Sans Condensed"" for headers, “Roboto” for body text.",R; Software
Programming for Analytics in R,images/hex/p4a.png,https://p4a.jhelvy.com,Open source text book on the fundamentals of programming and working with data in R.,R; Education
formr4conjoint,images/formr4conjoint.png,https://github.com/jhelvy/formr4conjoint/,Template for how to create a choice-based conjoint survey using the formr survey platform.,R; Education
Iris Rev 2,images/iris_rev2.jpg,https://github.com/jhelvy/iris-rev2/,Build log and gallery of how I built my Iris Rev 2 keyboard.,Keyboards
